project_id;project_name;description;start_date;end_date;customer_id_customer_id
1;contextually-based Alaska Fresh;Table Micronesia;2022-10-21T03:06:10;2022-10-20T17:01:21;1
2;Producer;functionalities extensible;2022-10-20T04:37:26;2022-10-20T21:56:35;2
3;exploit technologies Soft;Sleek Assistant Bike;2022-10-20T16:25:31;2022-10-20T15:22:32;3
4;invoice optical;vortals revolutionary;2022-10-20T19:16:05;2022-10-21T02:12:22;4
5;bypassing;Beauty ROI turquoise;2022-10-20T04:58:22;2022-10-21T02:11:42;5
6;copying Central payment;Keyboard Optional Carolina;2022-10-20T07:54:39;2022-10-20T18:45:33;6
7;Intelligent specifically magenta;Assurance systemic;2022-10-20T18:06:38;2022-10-20T06:24:04;7
8;South Interactions back-end;violet;2022-10-20T13:15:22;2022-10-20T23:30:22;8
9;Concrete program ivory;port Computer;2022-10-20T12:01:53;2022-10-20T06:18:42;9
10;digital parsing;Berkshire Vision-oriented empowering;2022-10-20T09:10:38;2022-10-21T02:53:19;10
